Zeit;Kanal A
(s);(V)

0,00000000;12,54570300
0,00080000;12,54570300
0,00160000;12,54570300
0,00240000;12,54570300
0,00320000;12,56663000
0,00400000;12,57186200
0,00480000;12,57186300
0,00560000;12,57186300
0,00640000;12,57186200
0,00720000;12,57186200
0,00800000;12,57186200
0,00880000;12,57186200
0,00960000;12,57186200
0,01040000;12,57186100
0,01120000;12,57186300
0,01200000;12,57186200
0,01280000;12,57186200
0,01360000;12,57186200
0,01440000;12,57186200
0,01520000;12,57186200
0,01600000;12,57186200
0,01680000;12,57186200
0,01760000;12,57186200
0,01840000;12,57186200
0,01920000;12,57186200
0,02000000;12,57186200
0,02080000;12,57186200
0,02160000;12,57186100
0,02240000;12,57186200
0,02320000;12,57186200
0,02400000;12,57186200
0,02480000;12,57186200
0,02560000;12,57186200
0,02640000;12,57186100
0,02720000;12,57186200
0,02800000;12,57186200
0,02880000;12,57186900
0,02960000;12,57190800
0,03040000;12,57198500
0,03120000;12,57205700
0,03200000;12,57205700
0,03280000;12,57205700
0,03360000;12,57205700
0,03440000;12,57205700
0,03520000;12,57205800
0,03600000;12,57205700
0,03680000;12,57205700
0,03760000;12,57205700
0,03840000;12,57205700
0,03920000;12,57205700
0,04000000;12,57205700
0,04080000;12,57205700
0,04160000;12,57205700
0,04240000;12,57205700
0,04320000;12,57205700
0,04400000;12,57205700
0,04480000;12,57205800
0,04560000;12,57205700
0,04640000;12,57205700
0,04720000;12,57205700
0,04800000;12,57205700
0,04880000;12,57205700
0,04960000;12,57205700
0,05040000;12,57205700
0,05120000;12,57205800
0,05200000;12,57205700
0,05280000;12,57205700
0,05360000;12,57205700
0,05440000;12,57205700
0,05520000;12,57205700
0,05600000;12,57205700
0,05680000;12,57205700
0,05760000;12,57205700
0,05840000;12,57205700
0,05920000;12,57205700
0,06000000;12,57205700
0,06080000;12,57205700
0,06160000;12,57205700
0,06240000;12,57205700
0,06320000;12,57205700
0,06400000;12,57205700
0,06480000;12,57205700
0,06560000;12,57205700
0,06640000;12,57205700
0,06720000;12,57205700
0,06800000;12,57205700
0,06880000;12,57205700
0,06960000;12,57205700
0,07040000;12,57205700
0,07120000;12,57205700
0,07200000;12,57205700
0,07280000;12,57205700
0,07360000;12,57205700
0,07440000;12,57205700
0,07520000;12,57205700
0,07600000;12,57205700
0,07680000;12,57205700
0,07760000;12,57205700
0,07840000;12,57205700
0,07920000;12,57205700
0,08000000;12,57205700
0,08080000;12,57205700
0,08160000;12,57205700
0,08240000;12,57205700
0,08320000;12,57205700
0,08400000;12,57205700
0,08480000;12,57205700
0,08560000;12,57205700
0,08640000;12,57205700
0,08720000;12,57205700
0,08800000;12,57205700
0,08880000;12,57205700
0,08960000;12,57205700
0,09040000;12,57205700
0,09120000;12,57205700
0,09200000;12,57205700
0,09280000;12,57205700
0,09360000;12,57205700
0,09440000;12,57205700
0,09520000;12,57205700
0,09600000;12,57205700
0,09680000;12,57205700
0,09760000;12,57205700
0,09840000;12,57205700
0,09920000;12,57205700
0,10000000;12,57205700
0,10080000;12,57205700
0,10160000;12,57205700
0,10240000;12,57205700
0,10320000;12,57205700
0,10400000;12,57205700
0,10480000;12,57205700
0,10560000;12,57205700
0,10640000;12,57205700
0,10720000;12,57205700
0,10800000;12,57205700
0,10880000;12,57205700
0,10960000;12,57205700
0,11040000;12,57205700
0,11120000;12,57205700
0,11200000;12,57205700
0,11280000;12,57205700
0,11360000;12,57205700
0,11440000;12,57205700
0,11520000;12,57205700
0,11600000;12,57205700
0,11680000;12,57205700
0,11760000;12,57205800
0,11840000;12,57205700
0,11920000;12,57205700
0,12000000;12,57205700
0,12080000;12,57205700
0,12160000;12,57205700
0,12240000;12,57205800
0,12320000;12,57205700
0,12400000;12,57205700
0,12480000;12,57205700
0,12560000;12,57205700
0,12640000;12,57205700
0,12720000;12,57205700
0,12800000;12,57205700
0,12880000;12,57205700
0,12960000;12,57205700
0,13040000;12,57205700
0,13120000;12,57205700
0,13200000;12,57205700
0,13280000;12,57205700
0,13360000;12,57205800
0,13440000;12,57205700
0,13520000;12,57205700
0,13600000;12,57205700
0,13680000;12,57205700
0,13760000;12,57205700
0,13840000;12,57205800
0,13920000;12,57205700
0,14000000;12,57205700
